SYSTEM IP,SYSTEM NAME,MANAGER,SCAN ID,STATUS,FIX,CIS,PCI,IOS,DESCRIPTION,CHECK NAME
IP_001,HOST_A,server,SCAN_001,FAIL,"First ensure that systemd is correctly configured to ensure that /tmp will be mounted at boot time. # systemctl unmask tmp.mount For specific configuration requirements of the /tmp mount for your environment, modify /etc/fstab. Example of using tmpfs with specific mount options: tmpfs /tmp 0 tmpfs defaults,rw,nosuid,nodev,noexec,relatime,size=2G 0 Note: the size=2G is an example of setting a specific size for tmpfs. Example of using a volume or disk with specific mount options. The source location of the volume or disk will vary depending on your environment: <device> /tmp <fstype> defaults,nodev,nosuid,noexec 0 0.",4.8,"1.1.6,1.2.1,2.2.2,2.2.5",A.13.1.3,"The /tmp directory is a world-writable directory used for temporary storage by all users and some applications. - IF - an entry for /tmp exists in /etc/fstab it will take precedence over entries in systemd default unit file. Note: In an environment where the main system is diskless and connected to iSCSI, entries in /etc/fstab may not take precedence. /tmp can be configured to use tmpfs. tmpfs puts everything into the kernel internal caches and grows and shrinks to accommodate the files it contains and is able to swap unneeded pages out to swap space. It has maximum size limits which can be adjusted on the fly via mount -o remount. Since tmpfs lives completely in the page cache and on swap, all tmpfs pages will be shown as ""Shmem"" in /proc/meminfo and ""Shared"" in free. Notice that these counters also include shared memory. The most reliable way to get the count is using df and du. tmpfs has three mount options for sizing: - size: The limit of allocated bytes for this tmpfs instance. The default is half of your physical RAM without swap. If you oversize your tmpfs instances the machine will deadlock since the OOM handler will not be able to free that memory. - nr_blocks: The same as size, but in blocks of PAGE_SIZE. - nr_inodes: The maximum number of inodes for this instance. The default is half of the number of your physical RAM pages, or (on a machine with highmem) the number of lowmem RAM pages, whichever is the lower. These parameters accept a suffix k, m or g and can be changed on remount. The size parameter also accepts a suffix % to limit this tmpfs instance to that percentage of your physical RAM. The default, when neither size nor nr_blocks is specified, is size=50%. Internal Only - General.",Ensure /tmp is a separate partition.
IP_001,HOST_A,server,SCAN_001,FAIL,"- IF - a separate partition exists for /tmp. Edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the /tmp partition. Example: <device> /tmp <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /tmp with the configured options: # mount -o remount /tmp.",4.8,"1.1.6,1.2.1,2.2.2,2.2.5",A.13.1.3,The nodev mount option specifies that the filesystem cannot contain special devices.,Ensure nodev option set on /tmp partition.
IP_001,HOST_A,server,SCAN_001,FAIL,"- IF - a separate partition exists for /tmp. Edit the /etc/fstab file and add noexec to the fourth field (mounting options) for the /tmp partition. Example: <device> /tmp <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /tmp with the configured options: # mount -o remount /tmp.",3.3,"7.1,7.1.1,7.1.2,7.1.3",A.9.1.1,The noexec mount option specifies that the filesystem cannot contain executable binaries.,Ensure noexec option set on /tmp partition.
IP_001,HOST_A,server,SCAN_001,FAIL,"- IF - a separate partition exists for /tmp. Edit the /etc/fstab file and add nosuid to the fourth field (mounting options) for the /tmp partition. Example: <device> /tmp <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /tmp with the configured options: # mount -o remount /tmp.",3.3,"7.1,7.1.1,7.1.2,7.1.3",A.9.1.1,The nosuid mount option specifies that the filesystem cannot contain setuid files.,Ensure nosuid option set on /tmp partition.
IP_001,HOST_A,server,SCAN_001,FAIL,"- IF - a separate partition exists for /var. Edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the /var partition. Example: <device> /var <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /var with the configured options: # mount -o remount /var.",3.3,"7.1,7.1.1,7.1.2,7.1.3",A.9.1.1,The nodev mount option specifies that the filesystem cannot contain special devices.,Ensure nodev option set on /var partition.
IP_001,HOST_A,server,SCAN_001,FAIL,"- IF - a separate partition exists for /var/tmp. Edit the /etc/fstab file and add nosuid to the fourth field (mounting options) for the /var/tmp partition. Example: <device> /var/tmp <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /var/tmp with the configured options: # mount -o remount /var/tmp.",3.3,"7.1,7.1.1,7.1.2,7.1.3",A.9.1.1,The nosuid mount option specifies that the filesystem cannot contain setuid files.,Ensure nosuid option set on /var/tmp partition.
IP_001,HOST_A,server,SCAN_001,FAIL,"For new installations, during installation create a custom partition setup and specify a separate partition for /var/log . For systems that were previously installed, create a new partition and configure /etc/fstab as appropriate. Internal Only - General.",8.3,10.7,A.12.4.1,The /var/log directory is used by system services to store log data.,Ensure separate partition exists for /var/log.
IP_001,HOST_A,server,SCAN_001,FAIL,"- IF - a separate partition exists for /var/log. Edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the /var/log partition. Example: <device> /var/log <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /var/log with the configured options: # mount -o remount /var/log.",3.3,"7.1,7.1.1,7.1.2,7.1.3",A.9.1.1,The nodev mount option specifies that the filesystem cannot contain special devices.,Ensure nodev option set on /var/log partition.
IP_001,HOST_A,server,SCAN_001,FAIL,"- IF - a separate partition exists for /var/log. Edit the /etc/fstab file and add noexec to the fourth field (mounting options) for the /var/log partition. Example: <device> /var/log <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /var/log with the configured options: # mount -o remount /var/log.",3.3,"7.1,7.1.1,7.1.2,7.1.3",A.9.1.1,The noexec mount option specifies that the filesystem cannot contain executable binaries.,Ensure noexec option set on /var/log partition.
IP_001,HOST_A,server,SCAN_001,FAIL,"For new installations, during installation create a custom partition setup and specify a separate partition for /var/log/audit. For systems that were previously installed, create a new partition and configure /etc/fstab as appropriate.",8.3,10.7,A.12.4.1,"The auditing daemon, auditd, stores log data in the /var/log/audit directory.",Ensure separate partition exists for /var/log/audit.
